NS_Id	Id	Part1	M_Id	Ref_Name
cmn		zh_cn	zho	Chinese Mandarin (simplified)
cmn		zh_tw	zho	Chinese Mandarin (traditional)
yue		zh_hk	zho	Cantonese
eng-simple		simple	eng	Simplified English
ze_zh		zh	zho	Chinese	# strange code from bilingual subtitles
jpn		jp	jpn	Japanese	# misspelled 2-letter code
ces		cz	ces	Czech	# misspelled 2-letter code
zhs		zh_cn	zho	Chinese (simplified)
zht		zh_tw	zho	Chinese (traditional)
gre		gr	ell	Greek
cycl				Cyc Language
cnr		me	cnr	Montenegrin
mol		mo	ron	Moldavian
toki				Toki Pona
