C_Id	Part1	Ref_name
afa		Afro-Asiatic languages
alg		Algonquian languages
apa		Apache languages
art		artificial languages
ath		Athapascan languages
aus		Australian languages
bad		Banda languages
bai		Bamileke languages
bat		Baltic languages
ber		Berber languages
bih	bh	Bihari languages
bnt		Bantu languages
btk		Batak languages
cai		Central American Indian languages
cau		Caucasian languages
cel		Celtic languages
cmc		Chamic languages
cpe		creoles and pidgins, English-based
cpf		creoles and pidgins, French-based
cpp		creoles and pidgins, Portuguese-based
crp		creoles and pidgins
cus		Cushitic languages
day		Land Dayak languages
dra		Dravidian languages
fiu		Finno-Ugrian languages
gem		Germanic languages
ijo		Ijo languages
inc		Indic languages
ine		Indo-European languages
ira		Iranian languages
iro		Iroquoian languages
kar		Karen languages
khi		Khoisan languages
kro		Kru languages
map		Austronesian languages
mkh		Mon–Khmer languages
mno		Manobo languages
mun		Munda languages
myn		Mayan languages
nah		Nahuatl languages
nai		North American Indian languages
nic		Niger-Kordofanian languages
nub		Nubian languages
oto		Otomian languages
paa		Papuan languages
phi		Philippine languages
pra		Prakrit languages
roa		Romance languages
sai		South American Indian languages
sal		Salishan languages
sem		Semitic languages
sgn		sign languages
sio		Siouan languages
sit		Sino-Tibetan languages
sla		Slavic languages
smi		Sami languages
son		Songhai languages
ssa		Nilo-Saharan languages
tai		Tai languages
tup		Tupi languages
tut		Altaic languages
wak		Wakashan languages
wen		Sorbian languages
ypk		Yupik languages
znd		Zande languages
